profile_id,station_name,source_file,station_id,subset_index,report_datetime_utc,seq,fxy,name,value,value_text,unit,kind,scale,reference,nbits
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,782,004211,UALNMN   RADIOSONDE LAUNCH MINUTE,30,,MINUTE,numeric,0,0,6
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,783,031001,Delayed descriptor replication factor,0,,Numeric,numeric,0,0,8
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,784,031001,Delayed descriptor replication factor,106,,Numeric,numeric,0,0,8
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,785,058008,RRSTG    RAW REPORT STRING,b'TTBB 141',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,786,058008,RRSTG    RAW REPORT STRING,b'23 31004',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,787,058008,RRSTG    RAW REPORT STRING,b' 00927 1',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,788,058008,RRSTG    RAW REPORT STRING,b'2023 119',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,789,058008,RRSTG    RAW REPORT STRING,b'14 17456',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,790,058008,RRSTG    RAW REPORT STRING,b' 22852 1',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,791,058008,RRSTG    RAW REPORT STRING,b'5264 336',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,792,058008,RRSTG    RAW REPORT STRING,b'85 00756',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,793,058008,RRSTG    RAW REPORT STRING,b' 44572 1',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,794,058008,RRSTG    RAW REPORT STRING,b'3126 554',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,795,058008,RRSTG    RAW REPORT STRING,b'75 20960',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,796,058008,RRSTG    RAW REPORT STRING,b' 66334 4',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,797,058008,RRSTG    RAW REPORT STRING,b'0556 772',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,798,058008,RRSTG    RAW REPORT STRING,b'66 52150',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,799,058008,RRSTG    RAW REPORT STRING,b' 88210 5',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,800,058008,RRSTG    RAW REPORT STRING,b'9140 991',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,801,058008,RRSTG    RAW REPORT STRING,b'94 57740',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,802,058008,RRSTG    RAW REPORT STRING,b' 11166 5',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,803,058008,RRSTG    RAW REPORT STRING,b'7346 221',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,804,058008,RRSTG    RAW REPORT STRING,b'04 54157',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,805,058008,RRSTG    RAW REPORT STRING,b' 21212 0',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,806,058008,RRSTG    RAW REPORT STRING,b'0927 205',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,807,058008,RRSTG    RAW REPORT STRING,b'02 11914',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,808,058008,RRSTG    RAW REPORT STRING,b' 22506 2',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,809,058008,RRSTG    RAW REPORT STRING,b'2852 225',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,810,058008,RRSTG    RAW REPORT STRING,b'10 33685',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,811,058008,RRSTG    RAW REPORT STRING,b' 27510 4',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,812,058008,RRSTG    RAW REPORT STRING,b'4543 265',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,813,058008,RRSTG    RAW REPORT STRING,b'12 55475',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,814,058008,RRSTG    RAW REPORT STRING,b' 27008 6',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,815,058008,RRSTG    RAW REPORT STRING,b'6414 255',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,816,058008,RRSTG    RAW REPORT STRING,b'11 77334',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,817,058008,RRSTG    RAW REPORT STRING,b' 29005 8',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,818,058008,RRSTG    RAW REPORT STRING,b'8228 275',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,819,058008,RRSTG    RAW REPORT STRING,b'17 99142',,CCITT IA5,numeric,0,0,64
31004_20000914_1200_12,Aldan,gdex_data\raw\2000\gdas.adpupa.t12z.20000914.bufr,31004,2,2000-09-14T12:00:00,820,058008,RRSTG    RAW REPORT STRING,b' 26521 1',,CCITT IA5,numeric,0,0,64
