profile_id,layer_index,base_idx,top_idx,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,base_pressure_hpa,top_pressure_hpa,base_temperature_c,top_temperature_c,depth_m,delta_t_c,mean_gradient_c_100m,position_type,embedded_gap_count,embedded_gap_depth_total_m,method
31004_20000130_1200_12,0,0,1,680.0,814.2,0.0,134.20000000000005,949.0,934.0,-15.5,-14.299999999999956,134.20000000000005,1.2000000000000437,0.8941877794337134,G,0,0.0,gap_v3
31004_20000130_1200_12,1,3,6,1255.7,1697.4,575.7,1017.4000000000001,886.0,840.0,-14.899999999999975,-10.5,441.70000000000005,4.3999999999999755,0.9961512338691363,HE,0,0.0,gap_v3
31004_20000202_1200_12,0,0,1,680.0,779.6,0.0,99.60000000000002,937.0,925.0,-16.5,-15.099999999999966,99.60000000000002,1.400000000000034,1.4056224899598733,G,0,0.0,gap_v3
31004_20000204_1200_12,0,0,4,680.0,1725.1,0.0,1045.1,942.0,831.0,-30.49999999999997,-18.69999999999999,1045.1,11.799999999999983,1.1290785570758763,G,1,5.600000000000023,gap_v3
31004_20000207_1200_12,0,3,6,1044.5,1935.5,364.5,1255.5,902.0,810.0,-23.09999999999997,-16.299999999999955,891.0,6.800000000000015,0.7631874298540982,HE,1,60.40000000000009,gap_v3
31004_20000208_1200_12,0,0,4,680.0,1935.3,0.0,1255.3,935.0,804.0,-22.09999999999997,-16.899999999999977,1255.3,5.199999999999992,0.4142436071058705,G,0,0.0,gap_v3
31004_20000208_1200_12,1,10,11,5240.8,5392.3,4560.8,4712.3,500.0,518.0,-37.49999999999997,-35.49999999999997,151.5,2.0,1.3201320132013201,HE,0,0.0,gap_v3
31004_20000206_1200_12,0,3,7,1053.4,1944.2,373.4000000000001,1264.2,902.0,810.0,-26.69999999999999,-15.299999999999956,890.8,11.400000000000032,1.2797485406376328,HE,0,0.0,gap_v3
31004_20000206_1200_12,1,11,12,5330.8,5369.7,4650.8,4689.7,500.0,524.0,-36.099999999999966,-33.29999999999998,38.899999999999636,2.799999999999983,7.1979434447301,HE,0,0.0,gap_v3
31004_20000205_1200_12,0,0,4,680.0,1460.1,0.0,780.0999999999999,943.0,859.0,-31.09999999999997,-19.69999999999999,780.0999999999999,11.39999999999998,1.4613511088321989,G,0,0.0,gap_v3
31004_20000211_1200_12,0,4,5,1526.6,2205.7,846.5999999999999,1525.6999999999998,844.0,777.0,-30.49999999999997,-26.69999999999999,679.0999999999999,3.799999999999983,0.5595641289942547,HE,0,0.0,gap_v3
31004_20000211_1200_12,1,7,8,2877.7,3104.6,2197.7,2424.6,715.0,695.0,-27.899999999999977,-27.49999999999997,226.9000000000001,0.4000000000000057,0.17628911414720386,HE,0,0.0,gap_v3
31004_20000209_1200_12,0,0,2,680.0,816.7,0.0,136.70000000000005,932.0,917.0,-21.899999999999977,-18.899999999999977,136.70000000000005,3.0,2.194586686174103,G,0,0.0,gap_v3
31004_20000212_1200_12,0,0,2,680.0,816.1,0.0,136.10000000000002,936.0,921.0,-24.899999999999977,-23.49999999999997,136.10000000000002,1.4000000000000057,1.0286554004408563,G,0,0.0,gap_v3
31004_20000212_1200_12,1,4,5,1742.2,2640.3,1062.2,1960.3000000000002,824.0,738.0,-29.299999999999983,-26.09999999999997,898.1000000000001,3.2000000000000135,0.35630776082841703,HE,0,0.0,gap_v3
31004_20000214_1200_12,0,0,1,680.0,779.6,0.0,99.60000000000002,937.0,925.0,-22.09999999999997,-21.69999999999999,99.60000000000002,0.3999999999999808,0.40160642570279187,G,0,0.0,gap_v3
