profile_id,layer_index,base_idx,top_idx,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,base_pressure_hpa,top_pressure_hpa,base_temperature_c,top_temperature_c,depth_m,delta_t_c,mean_gradient_c_100m,position_type,embedded_gap_count,embedded_gap_depth_total_m,method
31004_19991129_1200_12,0,5,6,2202.2,2654.3,1522.1999999999998,1974.3000000000002,774.0,732.0,-29.299999999999983,-27.49999999999997,452.10000000000036,1.8000000000000114,0.39814200398142224,HE,0,0.0,gap_v3
31004_19991129_1200_12,1,9,10,3760.1,3984.5,3080.1,3304.5,637.0,619.0,-33.29999999999998,-32.69999999999999,224.4000000000001,0.5999999999999943,0.2673796791443824,HE,0,0.0,gap_v3
31004_19991127_1200_12,0,0,2,680.0,817.1,0.0,137.10000000000002,929.0,914.0,-22.899999999999977,-21.69999999999999,137.10000000000002,1.1999999999999886,0.8752735229759215,G,0,0.0,gap_v3
31004_19991201_1200_12,0,3,5,1296.7,2219.3,616.7,1539.3000000000002,877.0,784.0,-31.49999999999997,-28.899999999999977,922.6000000000001,2.5999999999999943,0.28181226967266354,HE,0,0.0,gap_v3
31004_19991201_1200_12,1,7,8,2799.3,2907.2,2119.3,2227.2,700.0,720.0,-29.899999999999977,-29.299999999999983,107.89999999999964,0.5999999999999943,0.5560704355885044,HE,0,0.0,gap_v3
31004_19991202_1200_12,0,6,7,1709.9,2146.6,1029.9,1466.6,829.0,786.0,-18.69999999999999,-17.899999999999977,436.6999999999998,0.8000000000000114,0.18319212273872493,HE,0,0.0,gap_v3
31004_19991204_1200_12,0,6,7,3255.8,3468.7,2575.8,2788.7,679.0,661.0,-25.69999999999999,-24.69999999999999,212.89999999999964,1.0,0.4697040864255527,HE,0,0.0,gap_v3
31004_19991204_1200_12,1,8,9,3686.4,3909.1,3006.4,3229.1,643.0,625.0,-25.899999999999977,-25.49999999999997,222.69999999999982,0.4000000000000057,0.1796138302649331,HE,0,0.0,gap_v3
31004_19991203_1200_12,0,9,10,3476.9,3692.9,2796.9,3012.9,666.0,648.0,-27.09999999999997,-26.299999999999983,216.0,0.7999999999999865,0.37037037037036413,HE,0,0.0,gap_v3
31004_19991209_1200_12,0,0,4,680.0,1758.3,0.0,1078.3,931.0,818.0,-38.69999999999999,-28.49999999999997,1078.3,10.200000000000017,0.9459334137067623,G,0,0.0,gap_v3
