profile_id,n_inversion_layers,has_G,has_E,has_HE,lowest_layer_index,strongest_layer_index,lowest_base_agl_m,lowest_top_agl_m,lowest_delta_t_c,strongest_delta_t_c,strongest_depth_m,pattern
31004_20000208_1200_12,2,True,False,True,0,0,0.0,1255.3,5.199999999999992,5.199999999999992,1255.3,G+HE
31004_20000206_1200_12,2,False,False,True,0,0,373.4000000000001,1264.2,11.400000000000032,11.400000000000032,890.8,MULTI
31004_20000205_1200_12,1,True,False,False,0,0,0.0,780.0999999999999,11.39999999999998,11.39999999999998,780.0999999999999,G
31004_20000211_1200_12,2,False,False,True,0,0,846.5999999999999,1525.6999999999998,3.799999999999983,3.799999999999983,679.0999999999999,MULTI
31004_20000209_1200_12,1,True,False,False,0,0,0.0,136.70000000000005,3.0,3.0,136.70000000000005,G
31004_20000212_1200_12,2,True,False,True,0,1,0.0,136.10000000000002,1.4000000000000057,3.2000000000000135,898.1000000000001,G+HE
31004_20000214_1200_12,3,True,False,True,0,1,0.0,99.60000000000002,0.3999999999999808,3.1999999999999886,896.0999999999999,MULTI
31004_20000210_1200_12,3,True,False,True,0,0,0.0,137.0,4.200000000000017,4.200000000000017,137.0,MULTI
31004_20000213_1200_12,1,False,False,True,0,0,699.4000000000001,1511.6999999999998,2.399999999999981,2.399999999999981,812.2999999999997,HE
31004_20000217_1200_12,2,True,False,True,0,0,0.0,119.60000000000002,3.199999999999992,3.199999999999992,119.60000000000002,G+HE
31004_20000215_1200_12,4,True,False,True,0,0,0.0,135.60000000000002,3.0,3.0,135.60000000000002,MULTI
31004_20000216_1200_12,3,True,False,True,0,0,0.0,144.29999999999995,3.400000000000002,3.400000000000002,144.29999999999995,MULTI
31004_20000220_1200_12,2,False,False,True,0,0,1054.6,1504.6999999999998,2.799999999999983,2.799999999999983,450.0999999999999,MULTI
31004_20000229_1200_12,2,True,False,True,0,0,0.39999999999997726,138.0,4.599999999999994,4.599999999999994,137.60000000000002,G+HE
31004_20000222_1200_12,2,True,False,True,0,0,0.0,145.5,0.5999999999999979,0.5999999999999979,145.5,G+HE
31004_20000228_1200_12,1,True,False,False,0,0,19.600000000000023,351.29999999999995,0.8000000000000131,0.8000000000000131,331.69999999999993,G
31004_20000301_1200_12,2,True,False,True,0,0,0.0,136.5,3.0000000000000036,3.0000000000000036,136.5,G+HE
