profile_id,datetime_utc,date,year,month,cycle,season,gamma_local_c_100m,z_mid_agl_m,dz_m,dt_c
31004_20050303_0000_00,2005-03-03 00:00:00,2005-03-03,2005,3,00,MAM,-109.09090909091837,4589.700000000001,2.199999999999818,-2.4000000000000057
31004_20050420_0000_00,2005-04-20 00:00:00,2005-04-20,2005,4,00,MAM,-27.848101265824283,4746.95,7.899999999999636,-2.200000000000017
31004_20050901_0000_00,2005-09-01 00:00:00,2005-09-01,2005,9,00,SON,-59.86394557823211,4810.15,14.699999999999818,-8.800000000000011
31004_20050930_0000_00,2005-09-30 00:00:00,2005-09-30,2005,9,00,SON,-52.38095238095446,4678.799999999999,4.199999999999818,-2.199999999999992
31004_20051007_1200_12,2005-10-07 12:00:00,2005-10-07,2005,10,12,SON,228.57142857119376,4681.25,0.7000000000007276,1.6000000000000192
31004_20051013_1200_12,2005-10-13 12:00:00,2005-10-13,2005,10,12,SON,115.78947368417685,4541.65,1.9000000000005457,2.199999999999992
31004_20051017_0000_00,2005-10-17 00:00:00,2005-10-17,2005,10,00,SON,39.99999999999755,665.9000000000001,1.0,0.3999999999999755
31004_20051021_1200_12,2005-10-21 12:00:00,2005-10-21,2005,10,12,SON,18.181818181820375,2165.95,3.299999999999727,0.6000000000000227
31004_20051026_0000_00,2005-10-26 00:00:00,2005-10-26,2005,10,00,SON,-133.33333333335307,4690.299999999999,1.199999999999818,-1.5999999999999943
31004_20051111_0000_00,2005-11-11 00:00:00,2005-11-11,2005,11,00,SON,33.33333333333247,703.0999999999999,6.600000000000136,2.1999999999999886
31004_20051112_1200_12,2005-11-12 12:00:00,2005-11-12,2005,11,12,SON,15.081967213114822,748.05,30.5,4.600000000000021
31004_20051113_1200_12,2005-11-13 12:00:00,2005-11-13,2005,11,12,SON,-30.76923076922976,2243.45,3.900000000000091,-1.1999999999999886
31004_20051201_0000_00,2005-12-01 00:00:00,2005-12-01,2005,12,00,DJF,-16.326530612244536,4605.9,9.800000000000182,-1.5999999999999943
31004_20051206_1200_12,2005-12-06 12:00:00,2005-12-06,2005,12,12,DJF,28.57142857142509,187.85000000000002,0.7000000000000455,0.19999999999998863
31004_20051210_1200_12,2005-12-10 12:00:00,2005-12-10,2005,12,12,DJF,-39.50617283950905,4546.65,8.099999999999454,-3.200000000000017
31004_20051219_1200_12,2005-12-19 12:00:00,2005-12-19,2005,12,12,DJF,28.099173553720323,4626.85,12.099999999999454,3.4000000000000057
31004_20051224_1200_12,2005-12-24 12:00:00,2005-12-24,2005,12,12,DJF,23.611111111111747,4568.0,14.399999999999636,3.4000000000000057
31004_20060101_0000_00,2006-01-01 00:00:00,2006-01-01,2006,1,00,DJF,-16.513761467889875,2125.95,10.900000000000091,-1.8000000000000114
31004_20060111_1200_12,2006-01-11 12:00:00,2006-01-11,2006,1,12,DJF,-15.81395348837212,1864.5500000000002,21.5,-3.4000000000000057
31004_20060112_1200_12,2006-01-12 12:00:00,2006-01-12,2006,1,12,DJF,-239.99999999999773,715.6500000000001,0.5,-1.1999999999999886
31004_20060123_0000_00,2006-01-23 00:00:00,2006-01-23,2006,1,00,DJF,-26.666666666666988,2160.3,6.0,-1.6000000000000192
31004_20060123_1200_12,2006-01-23 12:00:00,2006-01-23,2006,1,12,DJF,2999.999999989086,4530.75,0.1000000000003638,3.0
31004_20060211_1200_12,2006-02-11 12:00:00,2006-02-11,2006,2,12,DJF,-40.0,2023.0500000000002,2.5,-1.0
31004_20060215_1200_12,2006-02-15 12:00:00,2006-02-15,2006,2,12,DJF,-18.181818181817743,2043.9,8.800000000000182,-1.5999999999999943
31004_20060305_0000_00,2006-03-05 00:00:00,2006-03-05,2006,3,00,MAM,-19.71830985915443,2055.2,14.200000000000273,-2.799999999999983
31004_20060307_1200_12,2006-03-07 12:00:00,2006-03-07,2006,3,12,MAM,111.11111111115602,2085.75,0.8999999999996362,1.0
31004_20060311_1200_12,2006-03-11 12:00:00,2006-03-11,2006,3,12,MAM,-40.00000000000341,153.25,0.5,-0.20000000000001705
31004_20060314_1200_12,2006-03-14 12:00:00,2006-03-14,2006,3,12,MAM,22.499999999999964,4338.5,16.0,3.5999999999999943
31004_20060329_1200_12,2006-03-29 12:00:00,2006-03-29,2006,3,12,MAM,-18.791946308725368,4463.25,14.899999999999636,-2.8000000000000114
31004_20060330_0000_00,2006-03-30 00:00:00,2006-03-30,2006,3,00,MAM,-16.161616161616244,877.05,9.900000000000091,-1.6000000000000227
31004_20060331_0000_00,2006-03-31 00:00:00,2006-03-31,2006,3,00,MAM,28.888888888888825,4535.2,9.0,2.5999999999999943
31004_20060413_1200_12,2006-04-13 12:00:00,2006-04-13,2006,4,12,MAM,-15.609756097560936,1350.05,20.5,-3.199999999999992
31004_20060501_1200_12,2006-05-01 12:00:00,2006-05-01,2006,5,12,MAM,-16.176470588236068,4664.1,13.599999999999454,-2.200000000000017
31004_20060508_0000_00,2006-05-08 00:00:00,2006-05-08,2006,5,00,MAM,-22.82608695652154,78.29999999999995,9.199999999999932,-2.099999999999966
31004_20060527_1200_12,2006-05-27 12:00:00,2006-05-27,2006,5,12,MAM,-40.298507462687475,3854.7,13.399999999999636,-5.3999999999999755
31004_20060607_0000_00,2006-06-07 00:00:00,2006-06-07,2006,6,00,JJA,-49.999999999992895,2267.9,0.8000000000001819,-0.4000000000000341
31004_20060713_0000_00,2006-07-13 00:00:00,2006-07-13,2006,7,00,JJA,-36.55913978494633,152.04999999999995,9.300000000000068,-3.400000000000034
31004_20060719_1200_12,2006-07-19 12:00:00,2006-07-19,2006,7,12,JJA,-99.99999999997158,786.3000000000002,0.20000000000004547,-0.19999999999998863
31004_20060801_0000_00,2006-08-01 00:00:00,2006-08-01,2006,8,00,JJA,-37.5,2435.2,1.599999999999909,-0.5999999999999659
31004_20060826_0000_00,2006-08-26 00:00:00,2006-08-26,2006,8,00,JJA,-15.929203539822852,2187.25,11.300000000000182,-1.8000000000000114
31004_20061008_0000_00,2006-10-08 00:00:00,2006-10-08,2006,10,00,SON,107.14285714285018,4532.1,2.800000000000182,3.0
31004_20061022_1200_12,2006-10-22 12:00:00,2006-10-22,2006,10,12,SON,17.39130434782647,204.79999999999995,9.199999999999932,1.6000000000000232
31004_20061028_1200_12,2006-10-28 12:00:00,2006-10-28,2006,10,12,SON,32.09876543209761,4504.75,8.100000000000364,2.6000000000000227
31004_20061117_1200_12,2006-11-17 12:00:00,2006-11-17,2006,11,12,SON,-23.076923076923077,4584.3,13.0,-3.0
31004_20061121_0000_00,2006-11-21 00:00:00,2006-11-21,2006,11,00,SON,46.15384615384733,2116.7,2.599999999999909,1.1999999999999886
31004_20061122_0000_00,2006-11-22 00:00:00,2006-11-22,2006,11,00,SON,177.77777777776197,2156.8500000000004,0.900000000000091,1.6000000000000192
31004_20061123_0000_00,2006-11-23 00:00:00,2006-11-23,2006,11,00,SON,-15.38461538461499,759.9000000000001,5.2000000000000455,-0.7999999999999865
31004_20061204_1200_12,2006-12-04 12:00:00,2006-12-04,2006,12,12,DJF,18.000000000000078,1146.2,10.0,1.8000000000000078
31004_20061205_1200_12,2006-12-05 12:00:00,2006-12-05,2006,12,12,DJF,-18.811881188119038,4510.6,20.199999999999818,-3.8000000000000114
31004_20061218_0000_00,2006-12-18 00:00:00,2006-12-18,2006,12,00,DJF,69.84126984126792,2072.15,6.300000000000182,4.400000000000006
31004_20070225_1200_12,2007-02-25 12:00:00,2007-02-25,2007,2,12,DJF,-15.444015444015118,4407.65,25.900000000000546,-4.0
31004_20070318_1200_12,2007-03-18 12:00:00,2007-03-18,2007,3,12,MAM,279.99999999999545,2288.55,0.5,1.3999999999999773
31004_20070324_0000_00,2007-03-24 00:00:00,2007-03-24,2007,3,00,MAM,66.66666666666983,4512.799999999999,4.199999999999818,2.8000000000000114
31004_20070424_1200_12,2007-04-24 12:00:00,2007-04-24,2007,4,12,MAM,-24.999999999998224,2165.7,3.200000000000273,-0.8000000000000114
31004_20070425_0000_00,2007-04-25 00:00:00,2007-04-25,2007,4,00,MAM,-23.913043478260647,159.10000000000002,9.200000000000045,-2.1999999999999904
31004_20071101_1200_12,2007-11-01 12:00:00,2007-11-01,2007,11,12,SON,27.95698924731122,4465.35,9.300000000000182,2.5999999999999943
31004_20071110_1200_12,2007-11-10 12:00:00,2007-11-10,2007,11,12,SON,-18.18181818181849,772.75,1.099999999999909,-0.19999999999998685
31004_20071118_1200_12,2007-11-18 12:00:00,2007-11-18,2007,11,12,SON,21.62162162162128,4347.9,14.800000000000182,3.1999999999999886
31004_20071120_0000_00,2007-11-20 00:00:00,2007-11-20,2007,11,00,SON,66.66666666667298,609.5500000000002,0.2999999999999545,0.19999999999998863
31004_20071128_0000_00,2007-11-28 00:00:00,2007-11-28,2007,11,00,SON,19.148936170213627,2138.0,9.399999999999636,1.8000000000000114
31004_20071217_1200_12,2007-12-17 12:00:00,2007-12-17,2007,12,12,DJF,-21.739130434782503,141.89999999999998,9.200000000000045,-2.0
31004_20071217_1200_12,2007-12-17 12:00:00,2007-12-17,2007,12,12,DJF,-41.304347826086605,151.10000000000002,9.200000000000045,-3.7999999999999865
31004_20071231_0000_00,2007-12-31 00:00:00,2007-12-31,2007,12,00,DJF,-49.122807017545625,4547.85,5.699999999999818,-2.8000000000000114
