year,month,n_profiles,median_850,q25_850,q75_850,n_850,median_700,q25_700,q75_700,n_700,median_500,q25_500,q75_500,n_500
2008,5,59,-0.7261853908586107,-0.8564418741979158,-0.5943051346689496,59,-0.6995188023525213,-0.7940507306639186,-0.6115712675629792,59,-0.6576386470262849,-0.7066955810150641,-0.6115468076210584,59
2008,6,60,-0.6969008733934974,-0.8387407336906496,-0.4985478176191245,60,-0.725865818661709,-0.7812380901474354,-0.6779586596151885,60,-0.6934919379980315,-0.7409637002897289,-0.6605660812040807,60
2008,7,60,-0.6010348664365375,-0.7544813978554425,-0.45447503054945426,60,-0.6127508456325165,-0.6556230738530311,-0.5476209107930895,60,-0.5920127992184537,-0.6305799503602443,-0.5458897136984466,60
2008,8,58,-0.5242582722710911,-0.6622348721360459,-0.27381620956356817,58,-0.5643547013684531,-0.6462654791030931,-0.5185696675376095,58,-0.5817423544595683,-0.6040591178333996,-0.5394310563527757,58
2008,9,59,-0.46462232842161166,-0.6221470740135335,-0.2264630816930126,59,-0.5510734911607812,-0.6018519253525358,-0.3934752064357049,59,-0.5253235611853674,-0.5878768098719107,-0.4662251171101588,59
2008,10,61,-0.47335677576413304,-0.6103350061033501,-0.18807092960773478,61,-0.5288159899614596,-0.5923000987166841,-0.458631443771785,61,-0.5725989384896608,-0.6186285614707677,-0.4843717656799835,61
2008,11,60,0.16577402660884477,-0.4611796398126077,0.7317695061165075,60,-0.09938992387352322,-0.3112748795228283,0.1146034512430872,60,-0.40319106169590396,-0.5137839439374596,-0.2467009328501334,60
2008,12,61,0.3023177695666797,-0.18102824040550322,0.6610009442870614,61,-0.03544057059318689,-0.16655389579971833,0.22198584840216357,61,-0.2574357559876796,-0.3981020715195005,-0.1655484882809095,61
2009,1,61,0.3919372900335957,-0.18104228630544128,0.8181004729643367,61,-0.010033612602217036,-0.2072246032119804,0.2438583815028904,61,-0.3046621897058506,-0.40170393095989615,-0.20405387022173851,61
2009,2,53,0.45703839122486284,-0.276625172890732,0.7536930961712389,53,-0.06801729582665333,-0.24244775250933423,0.17662917170214665,53,-0.34718203911584306,-0.3822398321873908,-0.23210659048809348,53
2009,3,61,-0.20371785077667015,-0.48899755501222314,0.1452854859799506,61,-0.3169572107765461,-0.5230599004174421,-0.14427932477276006,61,-0.45365119777803486,-0.5366234004494795,-0.38110610442307263,61
2009,4,59,-0.6735626653836928,-0.7719820452162491,-0.4987655242324214,59,-0.6821796266845214,-0.7423212564808572,-0.6030432211958625,59,-0.6529790832601848,-0.6888818448500122,-0.6056509873930284,59
2009,5,60,-0.7091368000684327,-0.8682359793085469,-0.5382640258836157,60,-0.6456349393496001,-0.7730037046899381,-0.5504316453868165,60,-0.6405630657798529,-0.7066699734215484,-0.5759140276568657,60
2009,6,58,-0.7270005116177991,-0.8982420120621073,-0.6200751380617175,58,-0.7587667422885097,-0.8214922215695286,-0.652109735527112,58,-0.6893654546612717,-0.7203618629973192,-0.5914936822377188,58
2009,7,61,-0.643086816720251,-0.7490636704119865,-0.5530208765380896,61,-0.6727985011071372,-0.7482038855588157,-0.605958592829489,61,-0.6405651340996161,-0.6644985144141978,-0.5739084585589418,61
2009,8,59,-0.41168146146918677,-0.5791561943434331,-0.24924355907319296,59,-0.552486187845303,-0.6199074957170935,-0.4978157851317845,59,-0.5538270068450527,-0.5998491964299464,-0.5268203505812145,59
2009,9,60,-0.33333017117894603,-0.524193414289383,-0.08159941568951036,60,-0.5351575026003643,-0.5892031517650123,-0.44954263896151425,60,-0.5578705349984067,-0.6052182116826393,-0.5156551227314006,60
2009,10,62,-0.5076366955931437,-0.7280927768808031,-0.25999359648535597,62,-0.4651899852601087,-0.5558986339311943,-0.3691288100149182,62,-0.5138307199291775,-0.5728171590477107,-0.4688827985620696,62
2009,11,60,-0.1284689330368443,-0.46256740750046843,0.1850697662031235,60,-0.1967367406966974,-0.36138190138800763,-0.05123923884546716,60,-0.4070024891573498,-0.46156276802239,-0.3535480332614448,60
2009,12,62,0.558968863611856,0.13050719122006418,1.0260026536466627,62,0.2592859552671306,0.12619372232249887,0.41419359386482196,62,-0.17952320032760496,-0.2680459991833347,-0.13041119401453047,62
2010,1,59,0.5739365293720468,-0.42719420070568126,1.5562664273109879,59,0.06878592836436916,-0.22511954873158957,0.48167176940740086,59,-0.24759546709837107,-0.36905029748874735,-0.0708646568447586,59
2010,2,56,-0.14067170654638117,-0.5145628219550024,0.40463267694064603,56,-0.1787950878679499,-0.3484560590397874,0.2098999630690031,56,-0.39585090804538425,-0.44324453384839424,-0.20795577366086643,56
2010,3,62,-0.0437238806399148,-0.4613607785216986,0.22830942860510114,62,-0.33489513224730133,-0.5541297713023817,-0.0982212487236479,62,-0.4614728554638361,-0.579795163804018,-0.3570128542788543,62
2010,4,60,-0.587179946645654,-0.798767049052985,-0.4930766167680781,60,-0.6518346425397439,-0.7342799434017903,-0.5188425724793184,60,-0.580931398842333,-0.6534727221865357,-0.5216157844136186,60
2010,5,62,-0.6920711481884527,-0.8072850613862779,-0.5472714762880433,62,-0.6851458845352598,-0.7620926093517335,-0.5287596222304258,62,-0.6270792436143904,-0.7097143110006142,-0.5497015402108486,62
2010,6,59,-0.6577066056619995,-0.7949631185732717,-0.5110990055594832,59,-0.6309424703150321,-0.6996680204010735,-0.5290417050736584,59,-0.5841965791375576,-0.6252406788057061,-0.5275749263979952,59
2010,7,60,-0.6799907880142068,-0.783132883899218,-0.4864024694293796,60,-0.6622663611769952,-0.7472275435189153,-0.5271183358747621,60,-0.6281169200602585,-0.6771084684869069,-0.5459583037584871,60
2010,8,62,-0.4738872114966972,-0.5883581987027015,-0.20532053742708958,62,-0.5340145235754838,-0.6384824765478279,-0.4634224296979933,62,-0.5572198746169736,-0.6058618328060219,-0.525334674949326,62
2010,9,60,-0.48636101800183107,-0.6917982619276306,-0.3240717556525535,60,-0.5289316193822817,-0.6210476793279193,-0.38384032834004106,60,-0.5297649339330224,-0.6027209503835653,-0.46788003334683403,60
2010,10,62,-0.43345440317368944,-0.6482291653854975,-0.1399508316267059,62,-0.48108798767481964,-0.641557999196235,-0.3117220196412741,62,-0.5175866013010819,-0.61403844992311,-0.4463348036126862,62
2010,11,60,-0.007637767936564019,-0.5387297478183196,0.5213985447997274,60,-0.2884009867909875,-0.4806338287512377,-0.12441085220322168,60,-0.4485864679731204,-0.5009955126630563,-0.34484296618142984,60
2010,12,62,0.6076614666626821,-0.021570319240723536,1.2309213940463397,62,0.22298352904039703,-0.08621990871740984,0.4985844794348039,62,-0.18665922890428893,-0.28551116818786393,-0.04805830607545982,62
