profile_id,datetime_utc,year,month,cycle,position_type,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,mean_gradient_c_100m,season,eligible
31004_19991227_1200_12,1999-12-27 12:00:00,1999,12,12,HE,2099.3,2146.9,47.59999999999991,0.4000000000000057,0.8403361344537951,,DJF,True
31004_19991228_1200_12,1999-12-28 12:00:00,1999,12,12,G,0.0,369.29999999999995,369.29999999999995,9.599999999999994,2.5995125913891135,,DJF,True
31004_19991228_1200_12,1999-12-28 12:00:00,1999,12,12,HE,4410.6,4613.8,203.19999999999982,2.1999999999999886,1.0826771653543261,,DJF,True
31004_19991229_1200_12,1999-12-29 12:00:00,1999,12,12,G,0.0,601.7,601.7,4.199999999999989,0.698022270234334,,DJF,True
31004_19991230_1200_12,1999-12-30 12:00:00,1999,12,12,G,0.0,609.2,609.2,11.400000000000006,1.8713066316480635,,DJF,True
31004_19991230_1200_12,1999-12-30 12:00:00,1999,12,12,HE,4440.6,4673.7,233.09999999999945,2.3999999999999773,1.0296010296010223,,DJF,True
31004_19991231_1200_12,1999-12-31 12:00:00,1999,12,12,G,0.0,373.4000000000001,373.4000000000001,15.200000000000017,4.070701660417787,,DJF,True
31004_20000101_1200_12,2000-01-01 12:00:00,2000,1,12,G,0.0,370.5999999999999,370.5999999999999,9.400000000000006,2.5364274150027004,,DJF,True
31004_20000103_1200_12,2000-01-03 12:00:00,2000,1,12,G,0.0,759.3,759.3,16.600000000000023,2.1862241538258953,,DJF,True
31004_20000104_1200_12,2000-01-04 12:00:00,2000,1,12,G,0.0,604.5999999999999,604.5999999999999,12.599999999999996,2.084022494211048,,DJF,True
31004_20000105_1200_12,2000-01-05 12:00:00,2000,1,12,G,0.0,2681.8,2681.8,6.599999999999994,0.24610336341263309,,DJF,True
31004_20000106_1200_12,2000-01-06 12:00:00,2000,1,12,G,0.0,2272.6,2272.6,4.400000000000006,0.19361084220716385,,DJF,True
31004_20000106_1200_12,2000-01-06 12:00:00,2000,1,12,HE,4460.7,4520.1,59.400000000000546,3.8000000000000114,6.397306397306358,,DJF,True
31004_20000108_1200_12,2000-01-08 12:00:00,2000,1,12,G,0.0,719.4000000000001,719.4000000000001,10.599999999999994,1.4734500973033076,,DJF,True
31004_20000108_1200_12,2000-01-08 12:00:00,2000,1,12,HE,4550.7,4759.0,208.30000000000018,0.8000000000000114,0.38406144983197826,,DJF,True
31004_20000109_1200_12,2000-01-09 12:00:00,2000,1,12,E,144.70000000000005,1280.1,1135.3999999999999,9.199999999999992,0.8102871234807111,,DJF,True
31004_20000110_1200_12,2000-01-10 12:00:00,2000,1,12,G,0.0,1499.6,1499.6,8.0,0.5334755934915978,,DJF,True
