profile_id,station_name,source_file,station_id,subset_index,report_datetime_utc,data_status,REC,OBS,REPORT TIME,WMO/STATION/SATELLITE ID,LATI-,LONGI-,STN,SEQ,VSIG,PRES,GEOPOT,FLVL,AIR,DEW-,REL,WIND,WIND.1,replication_index,pressure_hpa,geopotential_height_m,geopotential_m2s2,air_temperature_c,dew_point_temperature_c,wind_direction_deg,wind_speed,relative_humidity_percent,vertical_significance_code,VSIG_fxy,VSIG_unit,VSIG_kind,PRES_fxy,PRES_unit,PRES_kind,GEOPOT_fxy,GEOPOT_unit,GEOPOT_kind,FLVL_fxy,FLVL_unit,FLVL_kind,AIR_fxy,AIR_unit,AIR_kind,DEW-_fxy,DEW-_unit,DEW-_kind,REL_fxy,REL_unit,REL_kind,WIND_fxy,WIND_unit,WIND_kind,WIND.1_fxy,WIND.1_unit,WIND.1_kind
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,11,WXPR,921.0,,688.8,,,,280.0,8.0,10,921.0,688.8,,,,280.0,8.0,,2,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,12,WXPR,853.0,,1321.2,,,,300.0,16.0,11,853.0,1321.2,,,,300.0,16.0,,2,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,13,WXPR,672.0,,3229.6,,,,300.0,17.0,12,672.0,3229.6,,,,300.0,17.0,,2,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,14,WXPR,524.0,,5130.0,,,,305.0,22.0,13,524.0,5130.0,,,,305.0,22.0,,2,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,15,WXPR,338.0,,8267.9,,,,315.0,23.0,14,338.0,8267.9,,,,315.0,23.0,,2,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,16,WXPR,231.0,,10787.7,,,,295.0,19.0,15,231.0,10787.7,,,,295.0,19.0,,2,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,17,WXPR,198.0,,11757.3,,,,320.0,12.0,16,198.0,11757.3,,,,320.0,12.0,,2,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,18,WXPR,184.0,,12208.7,,,,305.0,12.0,17,184.0,12208.7,,,,305.0,12.0,,2,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,19,WXPR,135.0,,14046.9,,,,310.0,8.0,18,135.0,14046.9,,,,310.0,8.0,,2,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,20,WXPR,125.0,,14487.2,,,,285.0,9.0,19,125.0,14487.2,,,,285.0,9.0,,2,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,21,WXPR,116.0,,14908.5,,,,310.0,9.0,20,116.0,14908.5,,,,310.0,9.0,,2,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,22,WXPR,107.0,,15357.3,,,,295.0,10.0,21,107.0,15357.3,,,,295.0,10.0,,2,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,23,SFC,935.0,,563.4,-3.099999999999966,-6.0,80.4,305.0,6.0,22,935.0,563.4,,-3.099999999999966,-6.0,305.0,6.0,80.4,64,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,24,MANL,1000.0,1274.0,129.9,,,,,,23,1000.0,129.9,1274.0,,,,,,32,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,25,MANL,925.0,7448.0,759.5,-3.6999999999999886,-6.0,84.1,,,24,925.0,759.5,7448.0,-3.6999999999999886,-6.0,,,84.1,32,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,26,MANL,850.0,13916.0,1419.0,-8.699999999999989,-9.899999999999977,91.0,300.0,16.0,25,850.0,1419.0,13916.0,-8.699999999999989,-9.899999999999977,300.0,16.0,91.0,32,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,27,MANL,700.0,28420.0,2898.0,-18.899999999999977,-19.899999999999977,91.8,300.0,17.0,26,700.0,2898.0,28420.0,-18.899999999999977,-19.899999999999977,300.0,17.0,91.8,32,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,28,MANL,500.0,52332.0,5336.4,-33.69999999999999,-35.39999999999998,84.6,310.0,25.0,27,500.0,5336.4,52332.0,-33.69999999999999,-35.39999999999998,310.0,25.0,84.6,32,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
31004_19991002_1200_12,Aldan,gdex_data\raw\1999\gdas.adpupa.t12z.19991002.bufr,31004,1,1999-10-02T12:00:00,OK,ADPUPA,RAOBF,199910021200,31004,58.62,125.37,,29,MANL,400.0,67228.0,6855.3,-42.89999999999998,-45.29999999999998,77.1,315.0,23.0,28,400.0,6855.3,67228.0,-42.89999999999998,-45.29999999999998,315.0,23.0,77.1,32,008001,Flag table,numeric,007004,Pa,numeric,010008,m2 s-2,numeric,010009,gpm,numeric,012101,K,numeric,012103,K,numeric,013003,%,numeric,011001,degree true,numeric,011002,m/s,numeric
