profile_id,year,month,cycle,pressure_hpa,height_agl_m,gamma_c_per_100m
31004_19991212_1200_12,1999,12,12,850.0,749.4000000000001,1.6669444907484579
31004_19991212_1200_12,1999,12,12,750.0,1767.6796296296297,-0.06437873610355878
31004_19991212_1200_12,1999,12,12,500.0,4520.7,-0.6549289784809053
31004_19991224_1200_12,1999,12,12,850.0,709.4000000000001,0.31259768677711836
31004_19991224_1200_12,1999,12,12,750.0,1813.38,-0.36957191253464816
31004_19991224_1200_12,1999,12,12,500.0,4530.7,-0.6130847400688669
31004_19991226_1200_12,1999,12,12,850.0,709.4000000000001,-0.41282946967291106
31004_19991226_1200_12,1999,12,12,750.0,1822.057142857143,-0.34152479264566266
31004_19991226_1200_12,1999,12,12,500.0,4520.7,-0.5207021080036955
31004_19991227_1200_12,1999,12,12,850.0,679.4000000000001,0.3226847370119393
31004_19991227_1200_12,1999,12,12,750.0,1791.1424242424246,-0.3816013628620098
31004_19991227_1200_12,1999,12,12,500.0,4480.7,-0.361132107163853
31004_19991228_1200_12,1999,12,12,850.0,659.4000000000001,0.9357857373346258
31004_19991228_1200_12,1999,12,12,750.0,1592.666666666667,-0.5286091863704553
31004_19991228_1200_12,1999,12,12,500.0,4410.6,-0.46782630885042314
31004_19991229_1200_12,1999,12,12,850.0,709.4000000000001,0.19678583142013586
31004_19991229_1200_12,1999,12,12,750.0,1642.666666666667,-0.48574898207014683
31004_19991229_1200_12,1999,12,12,500.0,4440.6,-0.47183974606442736
31004_19991230_1200_12,1999,12,12,850.0,729.4000000000001,0.2623811085601827
31004_19991230_1200_12,1999,12,12,750.0,1662.666666666667,-0.4143153082363014
31004_19991230_1200_12,1999,12,12,500.0,4440.6,-0.6489854194609092
31004_19991231_1200_12,1999,12,12,850.0,759.3,-0.22587931590835847
31004_19991231_1200_12,1999,12,12,750.0,1887.8714285714286,-0.4219409282700422
31004_19991231_1200_12,1999,12,12,500.0,4460.7,-0.6691579038845911
31004_20000101_1200_12,2000,1,12,850.0,809.3,0.06453694740238478
31004_20000101_1200_12,2000,1,12,750.0,1788.2686131386863,-0.4670489648348805
31004_20000101_1200_12,2000,1,12,500.0,4550.7,-0.435655405116815
31004_20000103_1200_12,2000,1,12,850.0,759.3,1.7508206972018163
31004_20000103_1200_12,2000,1,12,750.0,1719.3000000000002,-0.6666666666666682
31004_20000103_1200_12,2000,1,12,500.0,4590.8,-0.6355843612795312
31004_20000104_1200_12,2000,1,12,850.0,799.3,1.524293426484598
31004_20000104_1200_12,2000,1,12,750.0,1933.0,-0.5468818911528638
31004_20000104_1200_12,2000,1,12,500.0,4580.8,-0.6464234073318018
31004_20000105_1200_12,2000,1,12,850.0,1054.6404494382023,0.24610336341263245
31004_20000105_1200_12,2000,1,12,750.0,2059.059925093633,0.24610336341263347
31004_20000105_1200_12,2000,1,12,500.0,4550.7,-0.5882774866951355
31004_20000106_1200_12,2000,1,12,850.0,965.423645320197,0.11576865563648704
31004_20000106_1200_12,2000,1,12,750.0,1986.655172413793,0.11576865563648611
31004_20000106_1200_12,2000,1,12,500.0,4460.7,-0.284311191522357
31004_20000108_1200_12,2000,1,12,850.0,719.4000000000001,1.279107904230893
31004_20000108_1200_12,2000,1,12,750.0,1679.3333333333335,-0.4583651642475166
