profile_id,year,month,cycle,has_G,has_E,has_HE
31004_20000615_1200_12,2000,6,12,False,False,False
31004_20000616_0000_00,2000,6,00,False,False,False
31004_20000616_1200_12,2000,6,12,False,False,True
31004_20000617_1200_12,2000,6,12,False,False,False
31004_20000618_1200_12,2000,6,12,False,False,False
31004_20000619_1200_12,2000,6,12,False,False,False
31004_20000620_1200_12,2000,6,12,False,False,True
31004_20000621_1200_12,2000,6,12,False,False,False
31004_20000622_1200_12,2000,6,12,False,False,True
31004_20000623_1200_12,2000,6,12,False,False,True
31004_20000624_1200_12,2000,6,12,False,False,True
31004_20000626_1200_12,2000,6,12,False,False,True
31004_20000627_1200_12,2000,6,12,False,False,False
31004_20000628_1200_12,2000,6,12,False,False,False
31004_20000629_1200_12,2000,6,12,False,False,False
31004_20000630_1200_12,2000,6,12,False,False,False
31004_20000701_1200_12,2000,7,12,False,False,True
31004_20000702_1200_12,2000,7,12,False,False,True
31004_20000703_1200_12,2000,7,12,False,False,False
31004_20000704_1200_12,2000,7,12,False,False,False
31004_20000705_1200_12,2000,7,12,False,False,False
31004_20000706_1200_12,2000,7,12,False,False,False
31004_20000708_1200_12,2000,7,12,True,False,False
31004_20000709_1200_12,2000,7,12,False,False,False
31004_20000710_1200_12,2000,7,12,False,False,True
31004_20000711_1200_12,2000,7,12,False,False,False
31004_20000712_1200_12,2000,7,12,False,False,False
31004_20000713_1200_12,2000,7,12,False,True,False
31004_20000714_1200_12,2000,7,12,False,False,False
31004_20000715_1200_12,2000,7,12,False,False,False
31004_20000716_1200_12,2000,7,12,False,True,False
31004_20000717_1200_12,2000,7,12,False,False,True
31004_20000718_1200_12,2000,7,12,True,False,False
31004_20000719_1200_12,2000,7,12,False,False,False
31004_20000720_1200_12,2000,7,12,True,False,False
31004_20000722_1200_12,2000,7,12,False,False,True
31004_20000723_1200_12,2000,7,12,False,False,True
31004_20000724_1200_12,2000,7,12,False,False,True
31004_20000725_1200_12,2000,7,12,False,False,False
31004_20000726_1200_12,2000,7,12,False,False,False
31004_20000727_1200_12,2000,7,12,False,False,False
31004_20000728_1200_12,2000,7,12,False,False,False
31004_20000729_1200_12,2000,7,12,False,False,False
31004_20000730_1200_12,2000,7,12,False,False,False
31004_20000801_1200_12,2000,8,12,False,False,False
31004_20000802_1200_12,2000,8,12,False,True,False
31004_20000803_1200_12,2000,8,12,False,False,False
31004_20000804_1200_12,2000,8,12,False,False,False
31004_20000805_1200_12,2000,8,12,False,False,False
31004_20000806_1200_12,2000,8,12,False,False,False
31004_20000807_1200_12,2000,8,12,False,False,False
31004_20000808_1200_12,2000,8,12,False,False,False
31004_20000809_1200_12,2000,8,12,False,False,False
31004_20000810_1200_12,2000,8,12,False,False,False
31004_20000811_1200_12,2000,8,12,False,False,False
31004_20000812_1200_12,2000,8,12,False,False,False
31004_20000813_1200_12,2000,8,12,False,False,True
31004_20000815_1200_12,2000,8,12,False,False,True
31004_20000816_1200_12,2000,8,12,False,False,False
31004_20000817_1200_12,2000,8,12,True,False,True
31004_20000819_1200_12,2000,8,12,False,False,True
31004_20000820_1200_12,2000,8,12,False,True,False
31004_20000821_1200_12,2000,8,12,False,False,True
31004_20000822_1200_12,2000,8,12,True,False,False
31004_20000823_1200_12,2000,8,12,False,False,False
31004_20000824_1200_12,2000,8,12,True,False,False
31004_20000825_1200_12,2000,8,12,False,False,True
31004_20000826_1200_12,2000,8,12,False,False,False
31004_20000827_1200_12,2000,8,12,False,False,False
31004_20000830_1200_12,2000,8,12,False,False,False
