profile_id,datetime_utc,year,month,cycle,layer_index,position_type,base_pressure_hpa,top_pressure_hpa,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,confirm_drop_c,embedded_gap_count,embedded_gap_depth_total_m,method
31004_19991119_1200_12,1999-11-19 12:00:00,1999,11,12,1,HE,700.0,705.0,2649.3,2895.6,1969.3000000000002,2215.6,246.29999999999973,0.4000000000000057,0.16240357287860582,,0,0.0,height-primary gap-v3
31004_19991120_1200_12,1999-11-20 12:00:00,1999,11,12,0,G,929.0,914.0,680.0,817.1,0.0,137.10000000000002,137.10000000000002,6.0,4.3763676148796495,,0,0.0,height-primary gap-v3
31004_19991121_1200_12,1999-11-21 12:00:00,1999,11,12,0,G,931.0,916.0,680.0,816.8,0.0,136.79999999999995,136.79999999999995,6.400000000000006,4.678362573099421,,0,0.0,height-primary gap-v3
31004_19991122_1200_12,1999-11-22 12:00:00,1999,11,12,0,G,934.0,869.0,680.0,1284.4,0.0,604.4000000000001,604.4000000000001,5.599999999999994,0.9265387160820637,,0,0.0,height-primary gap-v3
31004_19991123_1200_12,1999-11-23 12:00:00,1999,11,12,0,HE,879.0,785.0,1304.2,2234.8,624.2,1554.8000000000002,930.6000000000001,4.200000000000017,0.4513217279174744,,0,0.0,height-primary gap-v3
31004_19991123_1200_12,1999-11-23 12:00:00,1999,11,12,1,HE,763.0,700.0,2465.6,2809.3,1785.6,2129.3,343.7000000000003,0.799999999999983,0.23276112889146996,,0,0.0,height-primary gap-v3
31004_19991124_1200_12,1999-11-24 12:00:00,1999,11,12,0,G,940.0,925.0,680.0,799.6,0.0,119.60000000000002,119.60000000000002,0.6000000000000192,0.5016722408026916,,0,0.0,height-primary gap-v3
31004_19991124_1200_12,1999-11-24 12:00:00,1999,11,12,1,HE,828.0,805.0,1737.4,1968.8,1057.4,1288.8,231.39999999999986,0.4000000000000057,0.17286084701815294,,0,0.0,height-primary gap-v3
31004_19991124_1200_12,1999-11-24 12:00:00,1999,11,12,2,HE,783.0,762.0,2195.2,2416.1,1515.1999999999998,1736.1,220.9000000000001,0.5999999999999943,0.2716161158895401,,0,0.0,height-primary gap-v3
31004_19991125_1200_12,1999-11-25 12:00:00,1999,11,12,0,G,929.0,914.0,680.0,817.1,0.0,137.10000000000002,137.10000000000002,3.4000000000000057,2.4799416484318053,,0,0.0,height-primary gap-v3
31004_19991125_1200_12,1999-11-25 12:00:00,1999,11,12,1,HE,773.0,691.0,2204.0,3107.8,1524.0,2427.8,903.8000000000002,4.399999999999977,0.4868333702146466,,0,0.0,height-primary gap-v3
31004_19991125_1200_12,1999-11-25 12:00:00,1999,11,12,2,HE,500.0,534.0,5050.6,5113.4,4370.6,4433.4,62.79999999999927,3.1999999999999886,5.095541401273926,,0,0.0,height-primary gap-v3
31004_19991126_1200_12,1999-11-26 12:00:00,1999,11,12,0,HE,500.0,536.0,5070.6,5085.0,4390.6,4405.0,14.399999999999636,3.0,20.833333333333858,,0,0.0,height-primary gap-v3
31004_19991127_1200_12,1999-11-27 12:00:00,1999,11,12,0,G,929.0,914.0,680.0,817.1,0.0,137.10000000000002,137.10000000000002,1.1999999999999886,0.8752735229759215,,0,0.0,height-primary gap-v3
31004_19991128_1200_12,1999-11-28 12:00:00,1999,11,12,0,HE,710.0,690.0,2839.0,3067.6,2159.0,2387.6,228.5999999999999,0.8000000000000114,0.34995625546807163,,0,0.0,height-primary gap-v3
