profile_id,year,month,cycle,pressure_hpa,height_agl_m,gamma_c_per_100m
31004_19991130_1200_12,1999,11,12,850.0,659.4000000000001,-0.41949015811552015
31004_19991130_1200_12,1999,11,12,700.0,2039.3000000000002,-0.43481411696499744
31004_19991130_1200_12,1999,11,12,500.0,4370.6,-0.5147342684339209
31004_19991201_1200_12,1999,12,12,850.0,739.4000000000001,-0.06667777962993866
31004_19991201_1200_12,1999,12,12,700.0,2119.3,0.043481411696499335
31004_19991201_1200_12,1999,12,12,500.0,4460.7,-0.512513880584266
31004_19991202_1200_12,1999,12,12,850.0,739.4000000000001,-0.03125976867771056
31004_19991202_1200_12,1999,12,12,700.0,2179.3,-0.25001736231682886
31004_19991202_1200_12,1999,12,12,500.0,4580.8,-0.6412658754944817
31004_19991203_1200_12,1999,12,12,850.0,739.4000000000001,-0.7502344482650848
31004_19991203_1200_12,1999,12,12,700.0,2159.3,-0.32396647651243177
31004_19991203_1200_12,1999,12,12,500.0,4550.7,-0.5185247135569114
31004_19991204_1200_12,1999,12,12,850.0,679.4000000000001,-0.7814942169427949
31004_19991204_1200_12,1999,12,12,700.0,2099.3,-0.3803084724276361
31004_19991204_1200_12,1999,12,12,500.0,4510.7,-0.4312847308617403
31004_19991205_1200_12,1999,12,12,700.0,2059.3,-0.5915909571096559
31004_19991205_1200_12,1999,12,12,500.0,4440.6,-0.4955276529626679
31004_19991206_1200_12,1999,12,12,850.0,629.4000000000001,-0.5401970130282859
31004_19991206_1200_12,1999,12,12,700.0,2069.3,-0.47225501770956196
31004_19991206_1200_12,1999,12,12,500.0,4440.6,-0.7000379538649684
31004_19991207_1200_12,1999,12,12,700.0,2049.3,-0.7172908476446639
31004_19991207_1200_12,1999,12,12,500.0,4420.6,-0.6831695694344879
31004_19991208_1200_12,1999,12,12,700.0,2019.3000000000002,-0.4823037094829428
31004_19991208_1200_12,1999,12,12,500.0,4360.6,-0.6406697134070815
31004_19991209_1200_12,1999,12,12,850.0,639.4000000000001,1.2337445815271717
31004_19991209_1200_12,1999,12,12,700.0,2029.3000000000002,-0.11511619540974129
31004_19991209_1200_12,1999,12,12,500.0,4350.6,-0.6461896351182527
