profile_id,datetime_utc,year,month,cycle,layer_index,position_type,base_pressure_hpa,top_pressure_hpa,base_height_m,top_height_m,base_height_agl_m,top_height_agl_m,depth_m,delta_t_c,gamma_c_per_100m,confirm_drop_c
31004_20000205_1200_12,2000-02-05 12:00:00,2000,2,12,0,E,925.0,859.0,819.5,1460.1,139.5,780.0999999999999,640.5999999999999,9.0,1.4049328754292851,-2.799999999999983
31004_20000206_1200_12,2000-02-06 12:00:00,2000,2,12,0,HE,902.0,810.0,1053.4,1944.2,373.4000000000001,1264.2,890.8,11.400000000000032,1.2797485406376328,-2.800000000000013
31004_20000207_1200_12,2000-02-07 12:00:00,2000,2,12,0,HE,902.0,810.0,1044.5,1935.5,364.5,1255.5,891.0,6.800000000000015,0.7631874298540983,-2.400000000000034
31004_20000208_1200_12,2000-02-08 12:00:00,2000,2,12,0,G,935.0,804.0,680.0,1935.3,0.0,1255.3,1255.3,5.199999999999992,0.4142436071058705,-1.8000000000000114
31004_20000209_1200_12,2000-02-09 12:00:00,2000,2,12,0,G,932.0,917.0,680.0,816.7,0.0,136.70000000000005,136.70000000000005,3.0,2.194586686174103,-2.0
31004_20000210_1200_12,2000-02-10 12:00:00,2000,2,12,0,G,930.0,915.0,680.0,817.0,0.0,137.0,137.0,4.200000000000017,3.065693430656947,-3.4000000000000057
31004_20000212_1200_12,2000-02-12 12:00:00,2000,2,12,0,G,936.0,921.0,680.0,816.1,0.0,136.10000000000002,136.10000000000002,1.4000000000000057,1.0286554004408563,-4.400000000000006
31004_20000212_1200_12,2000-02-12 12:00:00,2000,2,12,1,HE,824.0,738.0,1742.2,2640.3,1062.2,1960.3000000000002,898.1000000000001,3.2000000000000135,0.356307760828417,-1.6000000000000192
31004_20000213_1200_12,2000-02-13 12:00:00,2000,2,12,0,HE,825.0,780.0,1732.2,2191.7,1052.2,1511.6999999999998,459.4999999999998,2.1999999999999886,0.4787812840043503,-2.399999999999981
31004_20000214_1200_12,2000-02-14 12:00:00,2000,2,12,0,HE,826.0,740.0,1731.0,2627.1,1051.0,1947.1,896.0999999999999,3.1999999999999886,0.3571030018971084,-1.0
