season,pressure_hpa,median,q25,q75,mean,count
MAM,600.0,-23.15454545454543,-29.212771739130407,-16.992099792099772,-23.183122244266052,4547
MAM,625.0,-21.316666666666645,-27.37101398601396,-15.068981481481476,-21.390913513790757,4547
MAM,650.0,-19.60331125827812,-25.60398773006133,-13.345534290271095,-19.69491142265897,4547
MAM,675.0,-17.999999999999996,-24.12447089947088,-11.771969696969668,-18.08480107121972,4547
MAM,700.0,-16.299999999999955,-22.69999999999999,-10.299999999999956,-16.53586969113062,4547
MAM,725.0,-14.899999999999975,-21.354424645122307,-8.938288288288256,-15.164316819155689,4547
MAM,750.0,-13.513793103448275,-20.139299565166265,-7.534848484848462,-13.77229471125299,4547
MAM,775.0,-12.075438596491189,-18.77043918918916,-5.937845849802365,-12.351007791407334,4547
MAM,800.0,-10.579999999999984,-17.50555555555554,-4.307317073170701,-10.85242647925073,4547
MAM,825.0,-8.812925170068024,-15.929166666666635,-2.7131417288284254,-9.295888813311253,4547
MAM,850.0,-7.099999999999966,-14.299999999999956,-1.099999999999966,-7.681517304810751,4547
MAM,875.0,-5.45937499999997,-12.727777777777746,0.6000000000000323,-6.160155566342615,4547
MAM,900.0,-3.9131147540983213,-11.49999999999998,2.2740740740740963,-4.69816196911257,4547
MAM,925.0,-3.6999999999999886,-12.5,3.200000000000045,-4.631058238195221,3608
JJA,500.0,-13.699999999999989,-16.899999999999977,-11.299999999999956,-14.218784408720524,4541
JJA,525.0,-11.399999999999975,-14.467924528301875,-9.019230769230735,-11.92631737790724,4541
JJA,550.0,-9.30408163265304,-12.265517241379271,-6.918691588785029,-9.781920025197708,4541
JJA,575.0,-7.2830508474575915,-10.2,-4.939416058394118,-7.786468885044663,4541
JJA,600.0,-5.42203389830504,-8.26153846153845,-3.061313868613121,-5.88582446111886,4541
JJA,625.0,-3.649253731343281,-6.440540540540515,-1.2666666666666329,-4.0732885028107075,4541
JJA,650.0,-1.879999999999984,-4.688405797101433,0.49354838709679116,-2.3262233153129634,4541
JJA,675.0,-0.17105263157891737,-3.078947368421037,2.300000000000008,-0.6056489094699721,4541
JJA,700.0,1.6000000000000227,-1.5,4.2000000000000455,1.1133231379007564,4541
JJA,725.0,3.1021276595744958,0.007352941176479,5.8500000000000165,2.726820396026146,4541
JJA,750.0,4.80000000000004,1.588059701492578,7.604081632653072,4.3990465620327175,4541
JJA,775.0,6.52105263157897,3.1400000000000317,9.470833333333378,6.120086584742989,4541
JJA,800.0,8.266666666666689,4.680000000000027,11.362500000000011,7.870113625575365,4541
JJA,825.0,9.930434782608712,6.279310344827611,13.274418604651187,9.632716351521273,4541
JJA,850.0,11.600000000000025,7.800000000000011,15.0,11.370983310921833,4541
JJA,875.0,13.200000000000026,9.400000000000016,16.785714285714285,12.96335216472973,4541
JJA,900.0,14.654166666666685,10.902564102564128,18.330434782608734,14.48359118070748,4541
JJA,925.0,15.800000000000011,12.0,19.400000000000038,15.589006034612051,3916
SON,500.0,-29.69999999999999,-35.89999999999998,-23.899999999999977,-29.749966510381757,4479
SON,525.0,-27.46116504854366,-33.78370992797625,-21.716464237516853,-27.568278468258576,4479
SON,550.0,-25.392857142857114,-31.66195175438594,-19.499999999999975,-25.493428513707038,4479
SON,575.0,-23.440579710144906,-29.725774225774202,-17.459591836734667,-23.549519437196736,4479
SON,600.0,-21.61338582677164,-27.95485074626864,-15.474646602827153,-21.724900163375388,4479
SON,625.0,-19.985714285714266,-26.29060439560437,-13.825809352517952,-20.019525571222022,4479
