profile_id,inversion_detected_v2,inversion_candidate_v2,inversion_quality_v2,inversion_delta_t_c_v2,n_inversion_layers_v3,has_G_v3,has_E_v3,has_HE_v3,pattern_v3,strongest_delta_t_c_v3,reason,score
31004_20001109_1200_12,False,False,none,nan,2,False,False,True,MULTI,3.400000000000002,v2_no_v3_multi+pattern_multi,45
31004_20001114_1200_12,False,False,none,nan,3,False,False,True,MULTI,0.8000000000000078,v2_no_v3_multi+pattern_multi,45
31004_20001115_1200_12,False,False,none,nan,2,False,False,True,MULTI,3.1999999999999886,v2_no_v3_multi+pattern_multi,45
31004_20001116_1200_12,False,False,none,nan,3,False,False,True,MULTI,3.0,v2_no_v3_multi+pattern_multi,45
31004_20001117_1200_12,False,False,none,nan,2,False,False,True,MULTI,4.199999999999989,v2_no_v3_multi+pattern_multi,45
31004_20001118_1200_12,False,False,none,nan,2,False,False,True,MULTI,5.799999999999983,v2_no_v3_multi+pattern_multi,45
31004_20001121_1200_12,False,True,rejected_no_lapse,5.0,3,True,False,True,MULTI,5.199999999999989,v2_no_v3_multi+pattern_multi,45
31004_20001122_1200_12,False,True,rejected_no_lapse,1.5999999999999943,3,True,False,True,MULTI,2.200000000000017,v2_no_v3_multi+pattern_multi,45
31004_20001123_1200_12,False,True,rejected_no_lapse,6.200000000000017,3,True,False,True,MULTI,6.2000000000000135,v2_no_v3_multi+pattern_multi,45
31004_20001125_1200_12,False,True,rejected_no_lapse,6.800000000000011,3,True,False,True,MULTI,6.800000000000011,v2_no_v3_multi+pattern_multi,45
