source_file,source_path,cycle,file_ymd,obs_datetime,subset_index,delayed
gdas.adpupa.t12z.19991203.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991203.bufr,12,19991203,1999-12-03T12:00:00,2,0
gdas.adpupa.t12z.19991204.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991204.bufr,12,19991204,1999-12-04T12:00:00,1,0
gdas.adpupa.t12z.19991205.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991205.bufr,12,19991205,1999-12-05T12:00:00,2,0
gdas.adpupa.t12z.19991206.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991206.bufr,12,19991206,1999-12-06T12:00:00,2,0
gdas.adpupa.t12z.19991207.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991207.bufr,12,19991207,1999-12-07T12:00:00,2,0
gdas.adpupa.t12z.19991208.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991208.bufr,12,19991208,1999-12-08T12:00:00,2,0
gdas.adpupa.t12z.19991209.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991209.bufr,12,19991209,1999-12-09T12:00:00,0,0
gdas.adpupa.t12z.19991210.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991210.bufr,12,19991210,1999-12-10T12:00:00,2,0
gdas.adpupa.t12z.19991211.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991211.bufr,12,19991211,1999-12-11T12:00:00,1,0
gdas.adpupa.t12z.19991212.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991212.bufr,12,19991212,1999-12-12T12:00:00,2,0
gdas.adpupa.t12z.19991224.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991224.bufr,12,19991224,1999-12-24T12:00:00,2,0
gdas.adpupa.t12z.19991225.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991225.bufr,12,19991225,1999-12-25T12:00:00,1,0
gdas.adpupa.t12z.19991226.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991226.bufr,12,19991226,1999-12-26T12:00:00,1,0
gdas.adpupa.t12z.19991227.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991227.bufr,12,19991227,1999-12-27T12:00:00,2,0
gdas.adpupa.t12z.19991228.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991228.bufr,12,19991228,1999-12-28T12:00:00,2,0
gdas.adpupa.t12z.19991229.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991229.bufr,12,19991229,1999-12-29T12:00:00,1,0
gdas.adpupa.t12z.19991230.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991230.bufr,12,19991230,1999-12-30T12:00:00,2,0
gdas.adpupa.t12z.19991231.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\1999\gdas.adpupa.t12z.19991231.bufr,12,19991231,1999-12-31T12:00:00,0,0
gdas.adpupa.t12z.20000101.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000101.bufr,12,20000101,2000-01-01T12:00:00,2,0
gdas.adpupa.t12z.20000102.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000102.bufr,12,20000102,2000-01-02T12:00:00,1,0
gdas.adpupa.t12z.20000103.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000103.bufr,12,20000103,2000-01-03T12:00:00,2,0
gdas.adpupa.t12z.20000104.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000104.bufr,12,20000104,2000-01-04T12:00:00,1,0
gdas.adpupa.t12z.20000105.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000105.bufr,12,20000105,2000-01-05T12:00:00,1,0
gdas.adpupa.t12z.20000106.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000106.bufr,12,20000106,2000-01-06T12:00:00,1,0
gdas.adpupa.t12z.20000107.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000107.bufr,12,20000107,2000-01-07T12:00:00,1,0
gdas.adpupa.t12z.20000108.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000108.bufr,12,20000108,2000-01-08T12:00:00,1,0
gdas.adpupa.t12z.20000109.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000109.bufr,12,20000109,2000-01-09T12:00:00,1,0
gdas.adpupa.t12z.20000110.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000110.bufr,12,20000110,2000-01-10T12:00:00,1,0
gdas.adpupa.t12z.20000111.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000111.bufr,12,20000111,2000-01-11T12:00:00,1,0
gdas.adpupa.t12z.20000112.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000112.bufr,12,20000112,2000-01-12T12:00:00,1,0
gdas.adpupa.t12z.20000113.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000113.bufr,12,20000113,2000-01-13T12:00:00,1,0
gdas.adpupa.t12z.20000114.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000114.bufr,12,20000114,2000-01-14T12:00:00,2,0
gdas.adpupa.t12z.20000115.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000115.bufr,12,20000115,2000-01-15T12:00:00,2,0
gdas.adpupa.t12z.20000116.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000116.bufr,12,20000116,2000-01-16T12:00:00,1,0
gdas.adpupa.t12z.20000117.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000117.bufr,12,20000117,2000-01-17T12:00:00,2,0
gdas.adpupa.t12z.20000118.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000118.bufr,12,20000118,2000-01-18T12:00:00,2,0
gdas.adpupa.t12z.20000119.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000119.bufr,12,20000119,2000-01-19T12:00:00,2,0
gdas.adpupa.t12z.20000120.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000120.bufr,12,20000120,2000-01-20T12:00:00,1,0
gdas.adpupa.t12z.20000129.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000129.bufr,12,20000129,2000-01-29T12:00:00,2,0
gdas.adpupa.t12z.20000130.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000130.bufr,12,20000130,2000-01-30T12:00:00,1,0
gdas.adpupa.t12z.20000131.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000131.bufr,12,20000131,2000-01-31T12:00:00,2,0
gdas.adpupa.t12z.20000201.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000201.bufr,12,20000201,2000-02-01T12:00:00,2,0
gdas.adpupa.t12z.20000202.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000202.bufr,12,20000202,2000-02-02T12:00:00,2,0
gdas.adpupa.t12z.20000203.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000203.bufr,12,20000203,2000-02-03T12:00:00,2,0
gdas.adpupa.t12z.20000204.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000204.bufr,12,20000204,2000-02-04T12:00:00,2,0
gdas.adpupa.t12z.20000205.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000205.bufr,12,20000205,2000-02-05T12:00:00,2,0
gdas.adpupa.t12z.20000206.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000206.bufr,12,20000206,2000-02-06T12:00:00,2,0
gdas.adpupa.t12z.20000207.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000207.bufr,12,20000207,2000-02-07T12:00:00,2,0
gdas.adpupa.t12z.20000208.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000208.bufr,12,20000208,2000-02-08T12:00:00,1,0
gdas.adpupa.t12z.20000209.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000209.bufr,12,20000209,2000-02-09T12:00:00,1,0
gdas.adpupa.t12z.20000210.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000210.bufr,12,20000210,2000-02-10T12:00:00,2,0
gdas.adpupa.t12z.20000211.bufr,C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\raw\2000\gdas.adpupa.t12z.20000211.bufr,12,20000211,2000-02-11T12:00:00,2,0
