source_file,profiles_found,error,scanned_at
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991210.bufr,1,,2026-08-03T03:55:57Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991225.bufr,1,,2026-08-03T03:55:58Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991226.bufr,1,,2026-08-03T03:55:59Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991227.bufr,1,,2026-08-03T03:56:02Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991229.bufr,1,,2026-08-03T03:56:31Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t00z.20000430.bufr,1,,2026-08-03T03:56:32Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t00z.20000521.bufr,1,,2026-08-03T03:56:33Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t00z.20000519.bufr,1,,2026-08-03T03:56:33Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991230.bufr,1,,2026-08-03T03:56:35Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\2000\gdas.adpupa.t00z.20000505.bufr,1,,2026-08-03T03:56:36Z
C:\Users\Moon\Desktop\Kutenika programmist\yakutia_profile_climate\gdex_data\bufr_алдан\1999\gdas.adpupa.t12z.19991228.bufr,1,,2026-08-03T03:56:36Z
